valid_post_set,post_text_proportion,avg_post_word_count,prop_posts_with_date,dates_per_post,prop_posts_with_post_term,post_terms_per_post,avg_sent_length,cv_post_word_count,avg_post_similarity,lexical_diversity,words_per_line,mean_element_count,post_count
0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.37,0.45,0.33,1.5,3.0,6
1,0.53,280.0,1.0,3.2,1.0,3.2,26.92,0.53,0.03,0.44,10.45,34.8,5
0,0.06,2.07,0.0,0.0,0.0,0.0,2.07,0.45,0.24,0.48,2.07,3.59,70
1,0.6,51.64,0.45,0.73,0.45,0.73,22.72,0.33,0.07,0.58,2.25,20.27,11
0,0.13,6.2,0.0,0.0,0.0,0.0,6.2,1.12,0.24,0.68,6.2,3.55,20
1,0.82,53.88,1.0,1.2,1.0,1.2,29.93,2.95,0.26,0.37,2.57,21.92,25
1,0.71,36.22,0.37,0.41,0.37,0.41,34.93,0.34,0.08,0.49,34.93,14.15,27
1,0.64,16.07,0.0,0.0,0.0,0.0,15.03,0.27,0.31,0.66,1.46,10.28,29
1,0.64,16.07,0.0,0.0,0.0,0.0,15.03,0.27,0.31,0.66,1.46,10.28,29
1,0.16,43.0,0.0,0.0,0.0,0.0,17.2,0.5,0.11,0.6,3.23,12.17,6
1,0.79,70.91,0.91,0.91,0.91,0.91,52.0,0.21,0.06,0.54,3.33,17.27,11
0,0.03,2.0,0.0,0.0,0.0,0.0,2.0,0.56,0.21,0.85,2.0,3.88,17
0,0.03,2.0,0.0,0.0,0.0,0.0,2.0,0.56,0.21,0.85,2.0,3.88,17
1,0.79,70.91,0.91,0.91,0.91,0.91,52.0,0.21,0.06,0.54,3.33,17.27,11
0,0.03,2.0,0.0,0.0,0.0,0.0,2.0,0.56,0.21,0.85,2.0,3.88,17
1,0.92,144.85,0.78,1.07,0.78,1.07,16.86,0.93,0.08,0.3,11.37,17.74,27
1,0.85,41.98,0.18,0.18,0.18,0.18,16.86,0.28,0.14,0.57,1.14,24.1,49
1,0.92,221.83,1.0,2.17,1.0,2.17,20.17,0.95,0.18,0.33,7.61,30.5,6
0,0.99,284.6,0.2,1.6,0.2,1.6,20.33,2.17,0.17,0.35,5.03,58.6,5
1,16.11,2035.0,1.0,148.96,1.0,148.96,32.93,0.42,0.74,0.02,4.76,16.8,25
0,0.01,8.8,0.0,0.0,0.0,0.0,8.8,0.47,0.45,0.64,0.59,13.8,5
1,3.47,79.31,0.49,2.77,0.49,2.77,33.05,1.82,0.21,0.11,1.21,8.54,35
0,0.02,1.06,0.0,0.0,0.0,0.0,1.06,0.23,0.31,0.44,1.06,3.0,17
1,0.79,27.76,0.2,0.2,0.2,0.2,12.18,1.36,0.22,0.46,0.69,32.84,25
0,0.18,2.49,0.02,0.02,0.02,0.02,2.49,0.93,0.21,0.74,2.49,6.71,63
1,1.0,14.33,0.19,0.22,0.19,0.22,13.33,0.47,0.23,0.56,8.35,18.03,67
0,0.08,1.33,0.0,0.0,0.0,0.0,1.33,0.36,0.28,0.41,1.33,3.65,60
1,0.66,41.38,0.83,0.83,0.83,0.83,35.29,0.25,0.05,0.49,40.0,15.07,29
0,0.07,1.88,0.0,0.0,0.0,0.0,1.88,0.63,0.22,0.57,1.88,4.72,69
1,0.69,39.52,0.87,0.87,0.87,0.87,33.11,0.31,0.06,0.49,38.28,15.1,31
0,0.07,1.88,0.0,0.0,0.0,0.0,1.88,0.63,0.22,0.57,1.88,4.72,69
1,0.64,3.34,0.07,0.07,0.07,0.07,3.34,0.94,0.18,0.63,3.34,11.12,223
0,0.2,2.21,0.0,0.0,0.0,0.0,2.21,0.58,0.24,0.69,2.21,3.99,103
1,0.81,19.02,0.26,0.28,0.26,0.28,14.82,0.6,0.25,0.48,1.04,16.68,53
1,0.84,55.35,1.0,1.0,1.0,1.0,27.68,0.21,0.24,0.51,2.24,18.9,20
1,0.94,17.29,0.03,0.03,0.03,0.03,15.89,0.5,0.25,0.54,5.88,17.97,34
0,0.13,2.39,0.0,0.0,0.0,0.0,2.39,0.21,0.31,0.32,2.39,5.03,33
1,1.01,15.36,0.13,0.19,0.13,0.19,14.92,0.43,0.24,0.52,12.44,19.56,102
0,0.08,1.41,0.0,0.0,0.0,0.0,1.41,0.45,0.28,0.26,1.41,3.67,93
1,0.33,208.8,0.0,0.0,0.0,0.0,139.2,2.81,0.19,0.48,14.91,95.9,10
0,0.01,2.55,0.0,0.0,0.0,0.0,2.55,0.45,0.41,0.52,0.76,7.09,22
1,0.93,32.6,0.04,0.04,0.04,0.04,18.07,1.01,0.27,0.39,1.18,23.03,112
0,0.03,1.06,0.0,0.0,0.0,0.0,1.06,0.4,0.94,0.08,0.37,3.56,100
1,1.78,89.05,1.0,1.79,1.0,1.79,22.86,2.15,0.08,0.21,89.05,38.0,19
1,0.66,10.67,0.07,0.07,0.07,0.07,10.0,0.39,0.39,0.61,0.47,15.56,45
0,0.11,1.25,0.0,0.0,0.0,0.0,1.25,0.43,0.71,0.86,0.31,5.0,63
1,0.82,57.25,1.0,1.0,1.0,1.0,25.44,0.16,0.07,0.55,57.25,14.0,8
1,0.97,15.4,0.6,0.64,0.6,0.64,13.23,0.38,0.4,0.62,15.4,25.4,55
0,0.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.54,0.03,1.0,4.67,153
1,0.49,14.82,1.0,1.0,1.0,1.0,14.4,0.25,0.53,0.37,0.99,11.51,68
1,0.51,61.33,1.0,1.89,1.0,1.89,27.6,0.24,0.23,0.48,1.66,34.0,9
0,0.04,2.18,0.0,0.0,0.0,0.0,2.18,0.48,0.35,0.56,2.18,3.95,22
1,0.47,23.93,0.27,0.33,0.27,0.33,16.32,0.94,0.21,0.6,3.02,10.13,15
0,0.02,3.4,0.0,0.0,0.0,0.0,3.4,0.61,0.28,0.94,3.4,4.4,5
1,0.74,33.73,0.0,0.0,0.0,0.0,14.52,0.53,0.24,0.42,0.71,37.11,105
1,0.53,280.0,1.0,3.2,1.0,3.2,26.92,0.53,0.03,0.44,10.45,34.8,5
0,0.06,2.07,0.0,0.0,0.0,0.0,2.07,0.45,0.24,0.48,2.07,3.59,70
1,0.68,90.32,1.0,1.18,1.0,1.18,27.22,0.16,0.1,0.41,45.16,16.0,22
0,0.17,1.63,0.0,0.0,0.0,0.0,1.63,0.72,0.21,0.82,1.63,3.03,311
1,1.04,38.0,0.46,0.86,0.46,0.86,40.17,3.8,0.32,0.3,1.22,25.97,37
1,0.43,41.14,0.43,0.57,0.43,0.57,16.0,0.38,0.22,0.61,2.15,17.29,7
1,0.94,154.87,0.7,1.48,0.7,1.48,32.09,0.66,0.06,0.41,2.74,36.91,23
0,0.01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23,0.81,1.0,3.04,26
1,0.57,53.5,0.0,0.0,0.0,0.0,30.57,0.24,0.08,0.52,53.5,14.12,8
0,0.06,1.47,0.0,0.0,0.0,0.0,1.47,0.5,0.21,0.5,1.47,3.5,30
1,0.75,15.0,0.01,0.01,0.01,0.01,13.63,0.54,0.34,0.57,3.94,13.43,129
0,0.15,1.02,0.0,0.0,0.0,0.0,1.02,0.14,0.93,0.03,1.02,3.24,368
1,0.7,12.64,0.0,0.0,0.0,0.0,10.34,0.32,0.51,0.4,1.31,7.92,36
0,0.98,636.0,0.0,0.0,0.0,0.0,33.47,0,1,0.47,0.52,645.0,1
1,0.53,41.53,0.89,1.0,0.89,1.0,23.21,0.47,0.13,0.47,3.39,16.58,19
1,0.28,31.2,0.0,0.0,0.0,0.0,31.2,0.22,0.19,0.47,3.0,10.8,5
0,0.93,52.4,0.0,0.0,0.0,0.0,47.64,0.96,0.08,0.66,1.68,45.6,10
1,0.28,31.2,0.0,0.0,0.0,0.0,31.2,0.22,0.19,0.47,3.0,10.8,5
