page_with_posts,word_count,date_count,post_term_count,lexical_diversity,article_count,div_count,by_count,element_count,post_term_count_url,top_class_count,top_3_class_count,top_class_prop_total,top_class_prop_unique_words,mean_descendant_count
1,1089,19,520,0.42,13,692,2,1442,1,92,82,1.1,0.37,43.061026352288486
1,652,0,81,0.47,36,73,0,674,1,1,1,0.99,1.0,32.24183976261128
1,2481,11,1873,0.44,115,424,4,1927,2,110,67,0.09,0.05,13.288531395952257
1,2654,0,1293,0.43,29,278,4,1201,1,248,104,0.56,0.3,15.7985012489592
1,2071,102,384,0.34,68,686,7,1813,0,68,68,0.48,0.3,61.206839492553776
1,1142,37,424,0.45,5,90,4,3257,0,284,205,0.0,0,24.99078906969604
1,754,11,117,0.53,7,100,3,502,1,63,37,0.0,0,18.43625498007968
1,1077,1,52,0.39,7,335,13,753,0,61,31.33,1.12,0.02,34.180610889774236
1,2930,30,590,0.45,22,134,34,1771,0,311,193.33,0.19,0.87,19.108977978543194
1,945,3,91,0.48,8,245,0,893,0,25,21,0.1,0.03,31.019036954087348
1,1804,9,226,0.32,10,222,5,1376,0,36,33,0.07,0.61,25.986918604651162
1,2805,97,2705,0.58,86,322,0,1890,1,60,60,0.74,0.62,16.25079365079365
1,322,1,203,0.57,42,388,0,905,0,60,46.67,0.23,0.95,13.30828729281768
1,1612,4,140,0.4,11,415,4,1068,1,55,36.33,0.32,0.51,60.05524344569288
1,2950,3,4019,0.56,200,1626,14,3224,2,188,187.33,0.95,0.67,7.192928039702233
1,1663,20,289,0.4,47,472,7,1684,1,75,71.67,0.12,0.6,55.168052256532064
1,1028,1,169,0.5,12,125,7,616,0,31,23.67,0.11,0.64,30.170454545454547
1,1172,3,566,0.47,38,190,6,1384,2,24,24,0.05,0.64,12.40028901734104
1,2739,58,834,0.37,65,493,71,1942,1,210,117.33,0.0,0,23.299176107106078
1,554,8,124,0.62,5,90,0,547,0,18,12,0.06,0.89,16.53564899451554
1,530,3,1928,0.58,6,97,2,603,1,23,16,0.12,0.88,10.406301824212273
1,1296,0,438,0.47,39,256,7,1051,1,153,79.33,0.25,0.01,22.268315889628926
1,886,10,269,0.49,15,32,3,395,0,15,14.33,0.12,0.35,9.435443037974684
1,936,1,64,0.48,6,177,8,635,0,35,18.33,0.07,0.85,26.059842519685038
1,853,12,592,0.57,41,222,1,900,0,36,36,0.77,0.61,22.635555555555555
1,6140,65,310,0.23,13,28,35,880,0,63,29.67,0.02,0.11,19.56590909090909
1,836,12,531,0.46,40,248,2,988,1,44,44,0.19,0.28,14.747975708502024
1,1715,49,446,0.43,36,257,40,1192,1,123,69,0.0,0,23.466442953020135
1,3026,20,796,0.47,6,656,0,2012,2,113,68,0.0,0,25.98409542743539
1,531,6,33,0.46,5,97,0,325,0,15,14.33,0.48,0.43,24.56923076923077
1,568,1,192,0.52,14,416,1,828,0,22,18,0.0,0,51.117149758454104
1,755,11,285,0.45,8,271,5,757,0,30,23,0.1,0.0,28.36988110964333
1,3233,6,1741,0.61,12,510,21,2759,0,45,26,0.0,0,20.51540413193186
1,760,6,992,0.6,35,155,5,932,0,39,34.67,0.58,0.78,16.284334763948497
